id_bigger,id_smaller,num_modif_sites,diff_formula,weight_bigger,weight_smaller,difference,adduct,msmassanalyzer
CCMSLIB00005721564,CCMSLIB00000848299,1,C2H4,252.233,224.201,28.03200000000001,[M+H]1+,qtof
CCMSLIB00000845361,CCMSLIB00000848300,1,C1H2O1,285.075,255.065,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000847621,CCMSLIB00000848300,1,O1,271.06,255.065,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000847788,CCMSLIB00000848300,1,O1,271.06,255.065,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000848378,CCMSLIB00000848300,1,O1,271.06,255.065,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000849032,CCMSLIB00000848300,1,O1,271.06,255.065,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000847500,CCMSLIB00000848301,1,C5H8O4,423.128,291.086,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000848138,CCMSLIB00000848301,1,O1,307.081,291.086,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000848341,CCMSLIB00000848301,1,C5H8O4,423.128,291.086,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000848636,CCMSLIB00000848301,1,C5H8O4,423.128,291.086,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000848693,CCMSLIB00000848301,1,H-2O1,305.065,291.086,13.978999999999985,[M+H]1+,qtof
CCMSLIB00005721576,CCMSLIB00000848301,1,C5H8O4,423.128,291.086,132.04199999999997,[M+H]1+,qtof
CCMSLIB00005721643,CCMSLIB00000848301,1,O1,307.082,291.086,15.995999999999981,[M+H]1+,qtof
CCMSLIB00000847004,CCMSLIB00000848313,1,O1,435.092,419.097,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000845709,CCMSLIB00000848318,1,C7H4O4,753.129,601.119,152.01,[M+H]1+,qtof
CCMSLIB00000845075,CCMSLIB00000848320,1,H-1Cl1,395.044,361.083,33.960999999999956,[M+H]1+,qtof
CCMSLIB00000847803,CCMSLIB00000848325,1,O1,495.331,479.336,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000848845,CCMSLIB00000848325,1,O1,495.331,479.336,15.995000000000005,[M+H]1+,qtof
CCMSLIB00005721756,CCMSLIB00000848325,1,O1,495.331,479.336,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000846215,CCMSLIB00000848328,1,C1H2,1085.6,1071.58,14.019999999999982,[M+H]1+,qtof
CCMSLIB00000847206,CCMSLIB00000848330,1,O1,259.06,243.065,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000848069,CCMSLIB00000848330,1,C1H2O1,273.075,243.065,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000848606,CCMSLIB00000848331,1,C1H2,299.091,285.075,14.01600000000002,[M+H]1+,qtof
CCMSLIB00000846086,CCMSLIB00000848333,1,C5H8O4,581.15,449.108,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000847467,CCMSLIB00000848334,1,O1,565.155,549.16,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000847988,CCMSLIB00000848334,1,C1H2O1,579.171,549.16,30.01100000000008,[M+H]1+,qtof
CCMSLIB00000847998,CCMSLIB00000848336,1,C5H8,325.143,257.081,68.06199999999995,[M+H]1+,qtof
CCMSLIB00000848390,CCMSLIB00000848336,1,C1H2,271.096,257.081,14.014999999999986,[M+H]1+,qtof
CCMSLIB00000847500,CCMSLIB00000848337,1,C5H8O4,423.128,291.086,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000848138,CCMSLIB00000848337,1,O1,307.081,291.086,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000848341,CCMSLIB00000848337,1,C5H8O4,423.128,291.086,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000848636,CCMSLIB00000848337,1,C5H8O4,423.128,291.086,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000848693,CCMSLIB00000848337,1,H-2O1,305.065,291.086,13.978999999999985,[M+H]1+,qtof
CCMSLIB00005721576,CCMSLIB00000848337,1,C5H8O4,423.128,291.086,132.04199999999997,[M+H]1+,qtof
CCMSLIB00005721643,CCMSLIB00000848337,1,O1,307.082,291.086,15.995999999999981,[M+H]1+,qtof
CCMSLIB00000848366,CCMSLIB00000848338,1,C4H6,357.133,303.086,54.04699999999997,[M+H]1+,qtof
CCMSLIB00000848383,CCMSLIB00000848338,1,O1,319.081,303.086,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000848642,CCMSLIB00000848349,1,C6H10O5,1065.31,903.255,162.05499999999995,[M+H]1+,qtof
CCMSLIB00000846547,CCMSLIB00000848350,1,O1,245.081,229.086,15.994999999999976,[M+H]1+,qtof
CCMSLIB00000846811,CCMSLIB00000848350,1,C1H2O1,259.096,229.086,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000846143,CCMSLIB00000848351,1,C7H6O2,393.133,271.096,122.03699999999998,[M+H]1+,qtof
CCMSLIB00000848648,CCMSLIB00000848351,1,C7H6O1,377.138,271.096,106.04199999999997,[M+H]1+,qtof
CCMSLIB00000848712,CCMSLIB00000848353,1,O1,467.118,451.123,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000845253,CCMSLIB00000848355,1,C9H6O2,757.197,611.16,146.03700000000003,[M+H]1+,qtof
CCMSLIB00000845616,CCMSLIB00000848355,1,C6H10O4,757.218,611.16,146.058,[M+H]1+,qtof
CCMSLIB00000845960,CCMSLIB00000848355,1,C5H8O4,743.203,611.16,132.043,[M+H]1+,qtof
CCMSLIB00000847120,CCMSLIB00000848355,1,C6H10O4,757.218,611.16,146.058,[M+H]1+,qtof
CCMSLIB00000847164,CCMSLIB00000848355,1,C1H2,625.176,611.16,14.016000000000076,[M+H]1+,qtof
CCMSLIB00000847608,CCMSLIB00000848355,1,C1H2,625.176,611.16,14.016000000000076,[M+H]1+,qtof
CCMSLIB00000848668,CCMSLIB00000848355,1,C6H10O4,757.218,611.16,146.058,[M+H]1+,qtof
CCMSLIB00005721696,CCMSLIB00000848355,1,C5H8O4,743.207,611.16,132.04700000000003,[M+H]1+,qtof
CCMSLIB00000855051,CCMSLIB00000848363,1,C4H6O1,535.219,465.177,70.04200000000003,[M+H]1+,qtof
CCMSLIB00000845848,CCMSLIB00000848367,1,C1H2,385.113,371.097,14.01600000000002,[M+H]1+,qtof
CCMSLIB00000846428,CCMSLIB00000848378,1,O1,287.055,271.06,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000847433,CCMSLIB00000848378,1,O1,287.055,271.06,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000847591,CCMSLIB00000848378,1,C1H2O1,301.07,271.06,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000849013,CCMSLIB00000848378,1,C1H2O1,301.07,271.06,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000847481,CCMSLIB00000848380,1,C2H2O2,361.092,303.086,58.00599999999997,[M+H]1+,qtof
CCMSLIB00000848383,CCMSLIB00000848380,1,O1,319.081,303.086,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000852148,CCMSLIB00000848381,1,C5H6O3,425.144,311.112,114.03199999999998,[M+H]1+,qtof
CCMSLIB00000847481,CCMSLIB00000848383,1,C2H2O1,361.092,319.081,42.01099999999997,[M+H]1+,qtof
CCMSLIB00000846127,CCMSLIB00000848404,1,C5H8O4,563.176,431.133,132.04300000000006,[M+H]1+,qtof
CCMSLIB00000846401,CCMSLIB00000848404,1,C3H2O3,517.134,431.133,86.00100000000003,[M+H]1+,qtof
CCMSLIB00000847395,CCMSLIB00000848404,1,C5H8O4,563.176,431.133,132.04300000000006,[M+H]1+,qtof
CCMSLIB00000847379,CCMSLIB00000848420,1,C1H2O1,269.081,239.07,30.011000000000024,[M+H]1+,qtof
CCMSLIB00000845295,CCMSLIB00000848427,1,C2H2O1,443.243,401.232,42.01099999999997,[M+H]1+,qtof
CCMSLIB00000848706,CCMSLIB00000848427,1,C2H2O1,443.243,401.232,42.01099999999997,[M+H]1+,qtof
CCMSLIB00000847704,CCMSLIB00000848432,1,C1H2O1,330.133,300.123,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000846479,CCMSLIB00000848433,1,C1H2,323.076,309.06,14.01600000000002,[M+H]1+,qtof
CCMSLIB00000847365,CCMSLIB00000848446,1,C2H2O2,379.248,321.242,58.00599999999997,[M+H]1+,qtof
CCMSLIB00000845327,CCMSLIB00000848450,1,C5H8O4,565.155,433.113,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000845374,CCMSLIB00000848450,1,O1,449.108,433.113,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000846624,CCMSLIB00000848450,1,C6H10O4,579.171,433.113,146.05800000000005,[M+H]1+,qtof
CCMSLIB00000848573,CCMSLIB00000848450,1,C6H10O4,579.171,433.113,146.05800000000005,[M+H]1+,qtof
CCMSLIB00000848637,CCMSLIB00000848450,1,H-2O1,447.092,433.113,13.978999999999985,[M+H]1+,qtof
CCMSLIB00000848861,CCMSLIB00000848450,1,O1,449.108,433.113,15.995000000000005,[M+H]1+,qtof
CCMSLIB00005721179,CCMSLIB00000848450,1,O1,449.109,433.113,15.995999999999981,[M+H]1+,qtof
CCMSLIB00000847467,CCMSLIB00000848457,1,C1H2O1,565.155,535.144,30.010999999999967,[M+H]1+,qtof
CCMSLIB00000848866,CCMSLIB00000848457,1,C1H2O1,565.155,535.144,30.010999999999967,[M+H]1+,qtof
CCMSLIB00005721165,CCMSLIB00000848457,1,C1H2O1,565.157,535.144,30.013000000000034,[M+H]1+,qtof
CCMSLIB00000848825,CCMSLIB00000848477,1,O1,611.197,595.202,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000849044,CCMSLIB00000848477,1,O1,611.197,595.202,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000846026,CCMSLIB00000848486,1,H-2O1,493.097,479.118,13.978999999999985,[M+H]1+,qtof
CCMSLIB00000847164,CCMSLIB00000848486,1,C6H10O4,625.176,479.118,146.05800000000005,[M+H]1+,qtof
CCMSLIB00000847608,CCMSLIB00000848486,1,C6H10O4,625.176,479.118,146.05800000000005,[M+H]1+,qtof
CCMSLIB00000848610,CCMSLIB00000848486,1,C6H10O4,625.176,479.118,146.05800000000005,[M+H]1+,qtof
CCMSLIB00000848409,CCMSLIB00000848500,1,C1H2,254.138,240.123,14.015000000000015,[M+H]1+,qtof
CCMSLIB00000847745,CCMSLIB00000848516,1,O1,521.129,505.134,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000848617,CCMSLIB00000848518,1,C7H6O2,387.253,265.216,122.03699999999998,[M+H]1+,qtof
CCMSLIB00000845447,CCMSLIB00000848529,1,C1H2,511.326,497.311,14.015000000000043,[M+H]1+,qtof
CCMSLIB00005721293,CCMSLIB00000848529,1,C1H2,511.328,497.311,14.016999999999996,[M+H]1+,qtof
CCMSLIB00000848347,CCMSLIB00000848536,1,O1,759.198,743.203,15.995000000000005,[M+H]1+,qtof
CCMSLIB00005721861,CCMSLIB00000848536,1,O1,759.199,743.203,15.995999999999981,[M+H]1+,qtof
CCMSLIB00000847498,CCMSLIB00000848539,1,C1H2,363.107,349.092,14.015000000000043,[M+H]1+,qtof
CCMSLIB00000845996,CCMSLIB00000848546,1,C5H6O1,359.149,277.107,82.04199999999997,[M+H]1+,qtof
CCMSLIB00000846851,CCMSLIB00000848546,1,C5H8O2,377.159,277.107,100.05199999999996,[M+H]1+,qtof
CCMSLIB00000848564,CCMSLIB00000848546,1,C5H8O2,377.159,277.107,100.05199999999996,[M+H]1+,qtof
CCMSLIB00005721130,CCMSLIB00000848546,1,C5H8O2,377.161,277.107,100.05399999999997,[M+H]1+,qtof
CCMSLIB00000848234,CCMSLIB00000848554,1,O1,579.171,563.176,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000845378,CCMSLIB00000848557,1,O1,595.165,579.171,15.993999999999915,[M+H]1+,qtof
