id_bigger,id_smaller,num_modif_sites,diff_formula,weight_bigger,weight_smaller,difference,adduct,msmassanalyzer
CCMSLIB00000085976,CCMSLIB00000085060,1,O1,363.214,347.22,15.993999999999971,[M+H]1+,qtof
CCMSLIB00000085954,CCMSLIB00000085084,1,C1H-1F3,282.071,214.086,67.98500000000001,[M+H]1+,qtof
CCMSLIB00000084981,CCMSLIB00000085114,1,O1,347.221,331.229,15.992000000000019,[M+H]1+,qtof
CCMSLIB00000085038,CCMSLIB00000085114,1,C2H2O1,373.237,331.229,42.00800000000004,[M+H]1+,qtof
CCMSLIB00000085060,CCMSLIB00000085114,1,O1,347.22,331.229,15.991000000000042,[M+H]1+,qtof
CCMSLIB00000085263,CCMSLIB00000085114,1,O1,347.218,331.229,15.989000000000033,[M+H]1+,qtof
CCMSLIB00000085231,CCMSLIB00000085116,1,C5H8O1,495.255,411.2,84.055,[M+H]1+,qtof
CCMSLIB00000085746,CCMSLIB00000085123,1,C5H9N1O1,325.163,226.094,99.06900000000002,[M+H]1+,qtof
CCMSLIB00000085324,CCMSLIB00000085147,1,O1,388.223,372.237,15.98599999999999,[M+H]1+,qtof
CCMSLIB00000085437,CCMSLIB00000085174,1,C1H2,417.23,403.213,14.016999999999996,[M+H]1+,qtof
CCMSLIB00000086103,CCMSLIB00000085174,1,H-1F1,421.21,403.213,17.996999999999957,[M+H]1+,qtof
CCMSLIB00000084772,CCMSLIB00000085210,1,C2H2O1,495.222,453.208,42.01399999999995,[M+H]1+,qtof
CCMSLIB00000085131,CCMSLIB00000085225,1,C6H4,344.138,268.103,76.03499999999997,[M+H]1+,qtof
CCMSLIB00000085137,CCMSLIB00000085225,1,H-1F1,286.096,268.103,17.992999999999995,[M+H]1+,qtof
CCMSLIB00000085178,CCMSLIB00000085225,1,C9H10,386.185,268.103,118.082,[M+H]1+,qtof
CCMSLIB00000085190,CCMSLIB00000085225,1,H-1F1,286.094,268.103,17.990999999999985,[M+H]1+,qtof
CCMSLIB00000085335,CCMSLIB00000085225,1,C5H8,336.162,268.103,68.05899999999997,[M+H]1+,qtof
CCMSLIB00000085557,CCMSLIB00000085225,1,C5H4O1,348.137,268.103,80.03399999999999,[M+H]1+,qtof
CCMSLIB00000085562,CCMSLIB00000085225,1,C8H8,372.175,268.103,104.072,[M+H]1+,qtof
CCMSLIB00000085643,CCMSLIB00000085225,1,C6H5N1,359.151,268.103,91.048,[M+H]1+,qtof
CCMSLIB00000085793,CCMSLIB00000085225,1,C8H9N1,387.181,268.103,119.07799999999997,[M+H]1+,qtof
CCMSLIB00000085867,CCMSLIB00000085225,1,C9H10,386.186,268.103,118.08299999999997,[M+H]1+,qtof
CCMSLIB00000085939,CCMSLIB00000085225,1,C5H8,336.164,268.103,68.06099999999998,[M+H]1+,qtof
CCMSLIB00000086051,CCMSLIB00000085225,1,H-1Cl1,302.071,268.103,33.96800000000002,[M+H]1+,qtof
CCMSLIB00000084736,CCMSLIB00000085239,1,C1H2,313.218,299.199,14.019000000000005,[M+H]1+,qtof
CCMSLIB00000085088,CCMSLIB00000085239,1,C1H2,313.217,299.199,14.017999999999972,[M+H]1+,qtof
CCMSLIB00000085097,CCMSLIB00000085239,1,C1H2,313.218,299.199,14.019000000000005,[M+H]1+,qtof
CCMSLIB00000085789,CCMSLIB00000085239,1,C2H2O1,341.215,299.199,42.01599999999996,[M+H]1+,qtof
CCMSLIB00000084937,CCMSLIB00000085263,1,H-2O1,361.203,347.218,13.984999999999957,[M+H]1+,qtof
CCMSLIB00000085040,CCMSLIB00000085263,1,C4H6O2,433.258,347.218,86.03999999999996,[M+H]1+,qtof
CCMSLIB00000085054,CCMSLIB00000085263,1,O1,363.215,347.218,15.996999999999957,[M+H]1+,qtof
CCMSLIB00000085856,CCMSLIB00000085263,1,C5H8O2,447.279,347.218,100.06099999999998,[M+H]1+,qtof
CCMSLIB00000085976,CCMSLIB00000085263,1,O1,363.214,347.218,15.995999999999981,[M+H]1+,qtof
CCMSLIB00000084738,CCMSLIB00000085276,1,C2H4O2,255.11,195.085,60.025000000000006,[M+H]1+,qtof
CCMSLIB00000085275,CCMSLIB00000085276,1,C3H6,237.132,195.085,42.047,[M+H]1+,qtof
CCMSLIB00000085717,CCMSLIB00000085276,1,C5H8O1,279.148,195.085,84.06300000000002,[M+H]1+,qtof
CCMSLIB00000085915,CCMSLIB00000085276,1,C2,219.088,195.085,24.002999999999986,[M+H]1+,qtof
CCMSLIB00000084738,CCMSLIB00000085282,1,C3H6O2,255.11,181.069,74.04100000000003,[M+H]1+,qtof
CCMSLIB00000085275,CCMSLIB00000085282,1,C4H8,237.132,181.069,56.06300000000002,[M+H]1+,qtof
CCMSLIB00000085276,CCMSLIB00000085282,1,C1H2,195.085,181.069,14.01600000000002,[M+H]1+,qtof
CCMSLIB00000085599,CCMSLIB00000085282,1,C3H6,223.123,181.069,42.054,[M+H]1+,qtof
CCMSLIB00000086044,CCMSLIB00000085282,1,C5H8,249.14,181.069,68.071,[M+H]1+,qtof
CCMSLIB00000084933,CCMSLIB00000085306,1,C1H2,405.266,391.242,14.024000000000001,[M+H]1+,qtof
CCMSLIB00000084784,CCMSLIB00000085319,1,O1,347.224,331.221,16.002999999999986,[M+H]1+,qtof
CCMSLIB00000085263,CCMSLIB00000085319,1,O1,347.218,331.221,15.997000000000014,[M+H]1+,qtof
CCMSLIB00000085491,CCMSLIB00000085319,1,C1H2,345.249,331.221,14.02800000000002,[M+H]1+,qtof
CCMSLIB00000085212,CCMSLIB00000085329,1,C2H2O2,463.231,405.22,58.01099999999997,[M+H]1+,qtof
CCMSLIB00000085697,CCMSLIB00000085329,1,C6H12,489.327,405.22,84.10699999999997,[M+H]1+,qtof
CCMSLIB00000085776,CCMSLIB00000085331,1,O1,393.211,377.206,16.004999999999995,[M+H]1+,qtof
CCMSLIB00000085865,CCMSLIB00000085331,1,O1,393.211,377.206,16.004999999999995,[M+H]1+,qtof
CCMSLIB00000085131,CCMSLIB00000085412,1,C6H4,344.138,268.105,76.03299999999996,[M+H]1+,qtof
CCMSLIB00000085137,CCMSLIB00000085412,1,H-1F1,286.096,268.105,17.990999999999985,[M+H]1+,qtof
CCMSLIB00000085178,CCMSLIB00000085412,1,C9H10,386.185,268.105,118.07999999999998,[M+H]1+,qtof
CCMSLIB00000085190,CCMSLIB00000085412,1,H-1F1,286.094,268.105,17.988999999999976,[M+H]1+,qtof
CCMSLIB00000085335,CCMSLIB00000085412,1,C5H8,336.162,268.105,68.05699999999996,[M+H]1+,qtof
CCMSLIB00000085557,CCMSLIB00000085412,1,C5H4O1,348.137,268.105,80.03199999999998,[M+H]1+,qtof
CCMSLIB00000085562,CCMSLIB00000085412,1,C8H8,372.175,268.105,104.07,[M+H]1+,qtof
